reference,segment_id,segment_name,Dice,Accuracy,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,14,3rd-Ventricle,0.9108187134502924,0.9999831049079966,0.07014925373134329,0.10744985673352436,1.0387290831124534e-05,6.509394163800586e-06,0.836241610738255,0.9999896127091689,0.9298507462686567,0.8925501432664756,698,670,0.9999934906058362
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,15,4th-Ventricle,0.87599266951741,0.9999718876747811,0.0831202046035806,0.16140350877192977,1.9112911602783836e-05,9.002549383518854e-06,0.7793478260869565,0.9999808870883972,0.9168797953964194,0.8385964912280702,855,782,0.9999909974506165
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,16,Brain-Stem,0.9554210236653825,0.9998878276678458,0.03070910106085989,0.05805751492132394,7.41811270179173e-05,3.813186052836759e-05,0.9146469968387777,0.999925818872982,0.9692908989391401,0.9419424850786761,9215,8955,0.9999618681394716
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,17,Left-Hippocampus,0.6382264024185421,0.9998508523435431,0.4908896034297964,0.14491449144914492,2.230174510462843e-05,0.00012687119429699578,0.4686729156388752,0.9999776982548954,0.5091103965702036,0.8550855085508551,1111,1866,0.999873128805703
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,18,Left-Amygdala,0.8672897196261682,0.9999803352207829,0.10597302504816952,0.1578947368421053,1.2049005382304555e-05,7.6172210687897035e-06,0.7656765676567657,0.9999879509946177,0.8940269749518305,0.8421052631578947,551,519,0.9999923827789312
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,26,Left-Accumbens-area,0.4126984126984127,0.9999897521573093,0.7011494252873562,0.33333333333333337,1.800318379381092e-06,8.447591626215e-06,0.26,0.9999981996816206,0.2988505747126437,0.6666666666666666,39,87,0.9999915524083738
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,28,Left-VentralDC,0.9227513227513228,0.9999797812833401,0.08977035490605423,0.06437768240343344,8.310164134051812e-06,1.1911192365765544e-05,0.8565815324165029,0.999991689835866,0.9102296450939458,0.9356223175965666,932,958,0.9999880888076342
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,41,Right-Cerebral-White-Matter,,1.0,,,0.0,0.0,,1.0,,,0,0,1.0
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,42,Right-Cerebral-Cortex,0.8846067116295279,0.9953228292022526,0.10755082484816314,0.12309912009158097,0.0025682679772045546,0.002205586193802289,0.7930895056055872,0.9974317320227954,0.8924491751518369,0.876900879908419,147629,145057,0.9977944138061977
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,43,Right-Lateral-Ventricle,0.9366373902132998,0.9998881046365672,0.025774877650897254,0.0981576562971912,9.009131378361064e-05,2.190061280127331e-05,0.8808259587020649,0.9999099086862164,0.9742251223491027,0.9018423437028088,6622,6130,0.9999780993871987
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,47,Right-Cerebellum-Cortex,0.9654378362536373,0.9997713623205104,0.04915261226341183,0.019516965728378244,6.377851431077311e-05,0.0001656127379536798,0.9331849453662485,0.9999362214856893,0.9508473877365882,0.9804830342716218,23518,24251,0.9998343872620463
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,49,Right-Thalamus-Proper*,0.9631035529911934,0.9999326966007075,0.04973782771535584,0.02370324765276277,2.134632372642496e-05,4.6018211845910706e-05,0.9288329184360814,0.9999786536762736,0.9502621722846442,0.9762967523472372,6497,6675,0.9999539817881541
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,50,Right-Caudate,0.9198334200937012,0.9999573468169093,0.09338122113904568,0.06656101426307448,1.7453740315771407e-05,2.5210762668481657e-05,0.8515662650602409,0.9999825462596842,0.9066187788609543,0.9334389857369255,1893,1949,0.9999747892373315
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,51,Right-Putamen,0.8816437425708948,0.9999034764006032,0.029895366218236186,0.19203236850295669,8.547652678809414e-05,1.1083680541146279e-05,0.7883389006984513,0.9999145234732119,0.9701046337817638,0.8079676314970433,3213,2676,0.9999889163194589
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,52,Right-Pallidum,0.841000807102502,0.9999727185809452,0.22928994082840237,0.07460035523978681,5.81688769916608e-06,2.1466749597576218e-05,0.7256267409470752,0.9999941831123008,0.7707100591715976,0.9253996447602132,563,676,0.9999785332504024
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,53,Right-Hippocampus,0.9030654515327258,0.9999513919893999,0.09768211920529801,0.09618573797678276,2.41023268441743e-05,2.4517874015028696e-05,0.823262839879154,0.9999758976731559,0.902317880794702,0.9038142620232172,1809,1812,0.999975482125985
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,54,Right-Amygdala,0.9032258064516129,0.9999829664236358,0.1223241590214067,0.06969205834683956,5.955366879684139e-06,1.1079695557691949e-05,0.8235294117647058,0.9999940446331204,0.8776758409785933,0.9303079416531604,617,654,0.9999889203044423
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,58,Right-Accumbens-area,0.7901234567901234,0.9999952915317367,0.3191489361702128,0.05882352941176472,5.539446537278121e-07,4.15456994384833e-06,0.6530612244897959,0.9999994460553463,0.6808510638297872,0.9411764705882353,68,94,0.9999958454300562
