age_months,segment_id,segment_name,Dice,Accuracy,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
4,41,Right-Cerebral-White-Matter,0.8415643218505748,0.9936810971063416,0.22831416599803867,0.07464168174772257,0.001383778072291681,0.005056929597198834,0.7264661627091413,0.9986162219277083,0.7716858340019613,0.9253583182522774,130959,157038,0.9949430704028012
4,42,Right-Cerebral-Cortex,0.8478778014273194,0.99209185058313,0.08341540676745862,0.2112468031958129,0.006047898184396048,0.0020633205627709206,0.735926972397305,0.993952101815604,0.9165845932325414,0.7887531968041871,201764,173625,0.9979366794372291
4,43,Right-Lateral-Ventricle,0.9166778298727395,0.9998277254553088,0.059122782895641435,0.10630795350659528,0.00011283992159982057,5.961148560829077e-05,0.8461728700383331,0.9998871600784002,0.9408772171043586,0.8936920464934047,7657,7273,0.9999403885143917
4,47,Right-Cerebellum-Cortex,0.9631761989654265,0.9996510194110758,0.01685460294731822,0.055997937671860676,0.0002719996215657439,7.862379142009601e-05,0.9289680638159935,0.9997280003784342,0.9831453970526818,0.9440020623281393,34912,33522,0.9999213762085799
4,49,Right-Thalamus-Proper*,0.9543923296190723,0.9999025070100783,0.036242313227790146,0.05479276273578848,5.9195476633798624e-05,3.8401611259564206e-05,0.9127633209417596,0.9999408045233662,0.9637576867722099,0.9452072372642115,7793,7643,0.9999615983887404
4,50,Right-Caudate,0.9027705175117616,0.9999484838178255,0.1304128902316214,0.06141304347826082,1.565303781136732e-05,3.587659117532116e-05,0.822772748928061,0.9999843469621886,0.8695871097683786,0.9385869565217392,1840,1986,0.9999641234088247
4,51,Right-Putamen,0.9021490626428899,0.9998814573872543,0.09182968929804369,0.1037928684987508,6.332545668116132e-05,5.528897217799145e-05,0.821740941274469,0.9999366745433188,0.9081703107019563,0.8962071315012492,4403,4345,0.999944711027822
4,52,Right-Pallidum,0.8182941903584673,0.9999592855979589,0.11021505376344087,0.2425629290617849,2.936170967141477e-05,1.1357092185471096e-05,0.6924686192468619,0.9999706382903286,0.8897849462365591,0.7574370709382151,874,744,0.9999886429078145
4,53,Right-Hippocampus,0.8889867841409692,0.9999302038822152,0.1282937365010799,0.09303370786516851,2.867545576312245e-05,4.1142532277160804e-05,0.8001586042823157,0.9999713245442369,0.8717062634989201,0.9069662921348315,2225,2315,0.9999588574677228
4,54,Right-Amygdala,0.894484412470024,0.9999756267525196,0.10120481927710845,0.10978520286396176,1.2742025777118147e-05,1.1634036426122485e-05,0.8091106290672451,0.9999872579742228,0.8987951807228916,0.8902147971360382,838,830,0.9999883659635739
4,58,Right-Accumbens-area,0.6451612903225806,0.9999939066881299,0.2727272727272727,0.42028985507246375,4.016077048853638e-06,2.0772852595829505e-06,0.47619047619047616,0.9999959839229512,0.7272727272727273,0.5797101449275363,69,55,0.9999979227147404
4,60,Right-VentralDC,0.9227430555555556,0.9999753497837982,0.05258467023172908,0.10067681895093061,1.648219991661946e-05,8.171914928967183e-06,0.8565672844480258,0.9999835178000834,0.9474153297682709,0.8993231810490694,1182,1122,0.999991828085071
5,2,Left-Cerebral-White-Matter,0.8901717835630073,0.9955686389424669,0.043707827882452754,0.16739646869983948,0.0036796653186886266,0.000838890790204827,0.8020806917495995,0.9963203346813114,0.9562921721175472,0.8326035313001605,155750,135605,0.9991611092097952
5,3,Left-Cerebral-Cortex,0.8503618173909605,0.9947594748229893,0.1988257033857892,0.09401594176033434,0.0015744711594361592,0.003757066323118452,0.7396777788478737,0.9984255288405638,0.8011742966142108,0.9059840582396657,118682,134208,0.9962429336768815
5,4,Left-Lateral-Ventricle,0.7461682242990654,0.9997179073572863,0.39963906156005613,0.014483212639894716,6.097522950591356e-06,0.00027611549690953474,0.5951103160405486,0.9999939024770494,0.6003609384399439,0.9855167873601053,3038,4987,0.9997238845030905
5,8,Left-Cerebellum-Cortex,0.9101363803907114,0.9993247502573039,0.10178246635140054,0.07762420620097121,0.00028887021164260946,0.0003889210595888759,0.8350919913419913,0.9997111297883574,0.8982175336485995,0.9223757937990288,26770,27490,0.9996110789404111
5,10,Left-Thalamus-Proper*,0.9094861046421363,0.9998385272354422,0.1428153350892596,0.03141534391534395,2.63369538790036e-05,0.0001352740352577042,0.833997722095672,0.999973663046121,0.8571846649107404,0.968584656084656,6048,6834,0.9998647259647423
5,11,Left-Caudate,0.7757943591574438,0.9998260636429807,0.1772056039379023,0.26612630867950016,0.00010916560214042159,6.483726746386864e-05,0.6337124526100905,0.9998908343978595,0.8227943960620977,0.7338736913204998,2961,2641,0.9999351627325361
5,12,Left-Putamen,0.7681940700808625,0.9997856262096609,0.18803418803418803,0.2710997442455243,0.00013217190161145812,8.229981712537526e-05,0.6236323851203501,0.9998678280983886,0.811965811965812,0.7289002557544757,3519,3159,0.9999177001828746
5,13,Left-Pallidum,0.6962663975782039,0.9999166324148682,0.09685863874345546,0.43349753694581283,7.312747947860108e-05,1.0249571526399492e-05,0.5340557275541795,0.9999268725205214,0.9031413612565445,0.5665024630541872,1218,764,0.9999897504284736
5,14,3rd-Ventricle,0.8994378513429107,0.9999777040179298,0.09319899244332497,0.10780669144981414,1.2049464297437287e-05,1.0248988085548305e-05,0.8172531214528944,0.9999879505357026,0.906801007556675,0.8921933085501859,807,794,0.9999897510119145
5,15,4th-Ventricle,0.8844984802431611,0.999978950377176,0.11684370257966614,0.11415525114155256,1.0387275006429723e-05,1.0664266052673455e-05,0.7929155313351499,0.9999896127249935,0.8831562974203339,0.8858447488584474,657,659,0.9999893357339473
5,16,Brain-Stem,0.9369942820153199,0.9998382502667209,0.09822448343889523,0.0249242169080498,3.078458679527044e-05,0.00013116799833612358,0.8814574241347812,0.9999692154132047,0.9017755165611048,0.9750757830919502,8907,9631,0.9998688320016639
5,17,Left-Hippocampus,0.829723991507431,0.9998889355427313,0.09829257037378869,0.23161620133700356,8.159177377607144e-05,2.9507560377228792e-05,0.7089985486211902,0.9999184082262239,0.9017074296262113,0.7683837986629964,2543,2167,0.9999704924396228
5,18,Left-Amygdala,0.8523489932885906,0.9999695334406494,0.10939691444600286,0.18275418275418276,1.9666721096394772e-05,1.0802942555399042e-05,0.7426900584795322,0.9999803332789036,0.8906030855539971,0.8172458172458172,777,713,0.9999891970574446
